disease,icd,count
renal vein thrombosis,['I82.3'],1
splenic thrombosis,"['I81', 'K64.5', 'I51.3', 'I67.6', 'I74.11', 'I74.5', 'I74.8']",1
oral lichen planus,None,1
osteoporotic fractures,"['S22.43XS', 'S22.41XS', 'S22.42XS', 'S22.49XS', 'S52.591S', 'S52.592S', 'S52.599S']",1
coronary artery bypass surgery,"['I25.84', 'I25.41', 'I25.42', 'Z98.61', 'I24.81', 'I25.85', 'Q24.5']",1
glucose transporter type 1 deficiency syndrome,['E74.810'],1
painful bladder syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
"skin diseases, infectious","['B99.8', 'B99.9', 'H20.033', 'A09', 'B27.80', 'B27.81', 'B27.82']",1
soft tissue infections,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
hemophilic arthropathy,['M36.2'],1
metastatic leiomyosarcoma,None,1
metastatic malignant peripheral nerve sheath tumor,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
metastatic synovial sarcoma,"['M67.20', 'M67.211', 'M67.212', 'M67.219', 'M67.231', 'M67.232', 'M67.239']",1
metastatic undifferentiated pleomorphic sarcoma,"['F20.3', 'F45.1']",1
metastatic unresectable sarcoma,None,1
myxofibrosarcoma,None,1
recurrent leiomyosarcoma,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",1
recurrent malignant peripheral nerve sheath tumor,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
recurrent synovial sarcoma,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",1
recurrent undifferentiated pleomorphic sarcoma,"['F20.3', 'F45.1']",1
stage iii uterine corpus leiomyosarcoma ajcc v8,None,1
stage iiia uterine corpus leiomyosarcoma ajcc v8,None,1
stage iiib uterine corpus leiomyosarcoma ajcc v8,None,1
stage iiic uterine corpus leiomyosarcoma ajcc v8,None,1
stage iv uterine corpus leiomyosarcoma ajcc v8,None,1
stage iva uterine corpus leiomyosarcoma ajcc v8,None,1
stage ivb uterine corpus leiomyosarcoma ajcc v8,None,1
unresectable leiomyosarcoma,None,1
rheumatoid arthritis (ra) prevention,"['M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019', 'M06.021']",1
migraine with or without aura,"['G43.B1', 'G43.D1', 'G43.B0', 'G43.D0', 'G43.A1', 'G43.411', 'G43.419']",1
dedifferentiated liposarcoma,None,1
bone metastasis,None,1
cancer pain,['G89.3'],1
ureteral neoplasms,"['T83.122S', 'N13.1', 'N13.2', 'T83.112S', 'T83.122A', 'T83.122D', 'T83.112A']",1
urethral neoplasms,"['N34.0', 'N36.0', 'N36.1', 'N36.2', 'N34.3', 'N36.5', 'N36.9']",1
severe postpartum depression,"['F53.0', 'O90.5', 'O72.3', 'O90.6', 'O71.2', 'O72.1', 'O72.2']",1
subdural hematoma,"['I62.00', 'I62.01', 'I62.02', 'I62.03', 'G06.2', 'P10.0', 'S06.5X0S']",1
cluster headache - episodic and chronic,"['G44.81', 'G44.86', 'R51.9', 'G44.53', 'G44.83', 'G44.84', 'G44.85']",1
blood levels of buffered vs non-buffered lidocaine,None,1
"anesthetics, local","['T41.3X6S', 'T41.3X3S', 'T41.3X4S', 'T41.3X5S', 'T41.3X6A', 'T41.3X6D', 'T41.3X1S']",1
"verruca, warts",None,1
"unresectable, locally advanced or metastatic, adenocarcinoma of the stomach, or of the gastro esophageal junction","['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
"unresectable, recurrent, locally advanced or metastatic gastric or gastroesophageal junction adenocarcinoma","['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
gastric cancer third line,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
combined pulmonary fibrosis and emphysema,"['A21.2', 'A22.1', 'A42.0', 'A43.0', 'B37.1', 'B41.0', 'B42.0']",1
al amyloidosis,['E85.81'],1
cns lesion,None,1
blood brain barrier defect,None,1
complications of bone marrow transplant,['T86.09'],1
hematologic neoplasms,"['E70.338', 'E70.339', 'P09.3', 'O28.0', 'P61.8', 'P61.9', 'T45.8X1A']",1
open-angle ocular hypertension,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
narcolepsy with cataplexy,"['G47.411', 'G47.421', 'G47.419', 'G47.429']",1
healthy controls,None,1
yang deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
yin deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
aniridia,None,1
opioid use disorders,"['F11.94', 'F11.982', 'F11.988', 'F11.99', 'F11.959', 'F11.950', 'F11.951']",1
acquired hypogonadotropic hypogonadism,['G11.5'],1
central nervous system,"['B69.0', 'B90.0', 'G37.0', 'G96.9', 'A89', 'C72.9', 'D33.9']",1
cardiac surgery,"['I97.110', 'I97.120', 'I97.710', 'I97.190', 'I97.790', 'I97.111', 'I97.121']",1
environmental carcinogenesis,"['P81.0', 'Z59.11', 'Z57.31', 'R68.0', 'W99.XXXS', 'P04.6', 'W99.XXXA']",1
connective tissue disease-associated pulmonary arterial hypertension,['A69.29'],1
picornaviridae infections,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
dementia associated with cerebrovascular disease,"['A52.05', 'I67.81', 'I67.89', 'I67.9', 'I67.841', 'I67.858', 'I67.848']",1
"diabetes, hyperlipidemia, mixed dyslipidemia","['E78.2', 'E78.49', 'E78.5']",1
gbm,None,1
stage iii (iiib or iiic) colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",1
atherosclerotic cardiovascular diseases,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
premature ventricular contraction,"['I49.01', 'I49.02', 'I47.20', 'I47.29', 'I49.3', 'Q21.0', 'I47.0']",1
menopausal flushing,"['Z78.0', 'N95.1', 'N95.9', 'N95.8']",1
cervical spinal cord injury,"['S14.109S', 'S14.101S', 'S14.102S', 'S14.103S', 'S14.104S', 'S14.105S', 'S14.106S']",1
common warts,None,1
cancer of the pancreas,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
cancer of the kidney,"['N26.2', 'Q63.0', 'Q63.2', 'Z52.4', 'I75.81', 'N19', 'N20.0']",1
cancer of kidney,"['D17.71', 'D30.00', 'D30.01', 'D30.02', 'D41.00', 'D41.01', 'D41.02']",1
ovary cancer,"['C56.1', 'C56.2', 'C56.9', 'D27.0', 'D27.1', 'D27.9', 'C79.60']",1
cancer of ovary,"['C56.1', 'C56.2', 'C56.9', 'D27.0', 'D27.1', 'D27.9', 'C79.60']",1
chemotherapy symptoms,"['D61.810', 'Z51.11', 'D64.81', 'D70.1', 'Z92.21', 'P04.11', 'T80.810S']",1
cardiotoxicity,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
myocardial dysfunction,['I21.B'],1
pediatric heart failure,"['R63.31', 'R63.32', 'G47.33', 'Z71.87', 'Z68.51', 'Z68.54', 'Z68.52']",1
community acquired bacterial pneumonia,"['A49.9', 'G00.8', 'G00.9', 'J15.9', 'K65.2', 'A04.9', 'A05.9']",1
seizure disorder,['F44.5'],1
osteoarthritis of the knee or hip,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",1
neuroendocrine tumors in lung,"['C7A.1', 'C7A.8', 'C7B.8', 'D3A.8']",1
diffuse astrocytoma,None,1
"oligodendroglioma, childhood","['F80.81', 'F84.3', 'F93.8', 'F93.9', 'R62.0', 'E71.520', 'F64.2']",1
anaplastic oligodendroglioma,"['C84.67', 'C84.77', 'C84.7A', 'C84.60', 'C84.70', 'C84.62', 'C84.66']",1
pilocytic astrocytoma,None,1
giant cell astrocytoma,None,1
pleomorphic xanthoastrocytoma,None,1
anaplastic pleomorphic xanthoastrocytoma,"['C84.67', 'C84.77', 'C84.7A', 'C84.60', 'C84.70', 'C84.62', 'C84.66']",1
angiocentric glioma,None,1
chordoid glioma of third ventricle,"['Q20.4', 'Q20.1', 'Q20.2', 'C71.5', 'I23.6', 'C71.0']",1
gangliocytoma,None,1
ganglioglioma,None,1
anaplastic ganglioglioma,"['C84.67', 'C84.77', 'C84.7A', 'C84.60', 'C84.70', 'C84.62', 'C84.66']",1
dysplastic gangliocytoma of cerebrellum,None,1
desmoplastic infantile astrocytoma and ganglioglioma,"['L70.4', 'L21.1', 'L20.83', 'H26.09', 'L44.4', 'M41.00', 'M41.02']",1
papillary glioneuronal tumor,"['H10.413', 'H10.411', 'H10.412', 'H10.419', 'I51.2', 'I23.5']",1
rosette-forming glioneurona tumor,None,1
central neurocytoma,None,1
extraventricular neurocytoma,None,1
cerebellar iponeurocytoma,"['G46.4', 'G11.2', 'G11.10', 'G11.19', 'G11.3', 'G32.81', 'I66.3']",1
"macular degeneration, age-related","['H35.3130', 'H35.3230', 'H35.3110', 'H35.3120', 'H35.3131', 'H35.3132', 'H35.3190']",1
dry macular degeneration,"['H35.3131', 'H35.3132', 'H35.3111', 'H35.3112', 'H35.3121', 'H35.3122', 'H35.3191']",1
total knee replacement,"['Z79.890', 'Z96.693', 'Z47.1', 'Z95.4', 'Z96.691', 'Z96.692', 'T82.320S']",1
total hip replacement,"['Z79.890', 'Z96.693', 'Z47.1', 'Z95.4', 'Z96.691', 'Z96.692', 'T82.320S']",1
perioperative hyperoxygenation,None,1
seasonal allergy,['J30.2'],1
non-radiographic spondyloarthritis,"['M45.A2', 'M45.A3', 'M45.A4', 'M45.A5', 'M45.A6', 'M45.A7', 'M45.A0']",1
autoimmune epilepsy,"['E06.3', 'E20.812', 'K75.4', 'E31.0', 'D59.10', 'D59.11', 'D59.12']",1
polycystic kidney disease,"['Q61.3', 'Q61.2', 'Q61.19', 'Z82.71']",1
lumbar osteoarthritis,"['M15.4', 'M15.0', 'M16.9', 'M17.9', 'M19.011', 'M19.012', 'M19.019']",1
spondylosis,"['M47.9', 'M47.892', 'M47.893', 'M47.894', 'M47.895', 'M47.896', 'M47.897']",1
lumbar disc disease,"['M51.26', 'M51.36', 'M51.86', 'M46.36', 'M51.06', 'M51.16', 'S33.0XXS']",1
post-operative atrial fibrillation,"['I49.01', 'I48.0', 'I48.21', 'I48.91', 'I48.11', 'I48.19', 'I48.20']",1
mild to moderate alzheimer's disease,"['G30.8', 'G30.9', 'G30.0', 'G30.1']",1
acute diarrhoea,None,1
nonalcoholic steatohepatitis (nash) with fibrosis,['K75.81'],1
multiple system atrophy (msa) with orthostatic hypotension,"['I95.1', 'R80.2', 'G90.A', 'R51.0']",1
pure autonomic failure with orthostatic hypotension,"['I95.1', 'R80.2', 'G90.A', 'R51.0']",1
parkinson disease with orthostatic hypotension,"['I95.1', 'R80.2', 'G90.A', 'R51.0']",1
"diffuse large b-cell lymphoma, not otherwise specified","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
"refractory high grade b-cell lymphoma with myc, bcl2, and bcl6 rearrangements","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
als (amyotrophic lateral sclerosis),['G12.21'],1
primary bile acid diarrhea,"['K59.1', 'R19.7', 'P78.3', 'K58.0', 'K58.9']",1
menopausal hot flashes,"['Z78.0', 'N95.1', 'N95.9', 'N95.8']",1
congenital adrenal hyperplasia,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",1
genital psoriasis,"['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",1
cataplexy,"['G47.411', 'G47.419', 'G47.421', 'G47.429']",1
axial psoratic arthritis,"['A01.04', 'A02.23', 'A39.83', 'A39.84', 'A54.42', 'B06.82', 'B26.85']",1
perforated appendicitis,"['K36', 'K37', 'K35.80', 'K35.890', 'K35.891', 'K35.200', 'K35.201']",1
dupuytren's disease,['M72.0'],1
other abortion,"['O03.39', 'O03.35', 'O03.89', 'O03.85', 'O31.10X9', 'O31.11X9', 'O31.12X9']",1
asherman syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
"subjects with hyperlipidemia, dyslipidemia","['E78.2', 'E78.49', 'E78.5']",1
splenomegaly,"['D73.81', 'D73.2', 'R16.1', 'R16.2']",1
"hepatitis d, chronic","['B18.0', 'B18.1', 'K71.3', 'K71.4', 'K71.50', 'K71.51']",1
inclusion body myopathy 2,['G72.41'],1
atrophic acne scars,"['N95.2', 'H73.813', 'H73.823', 'K29.40', 'K29.41', 'L90.8', 'L90.9']",1
amoebic dysentery,['A06.0'],1
giardiasis,['A07.1'],1
advanced malignancies,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
diabetic foot infections,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
donor site complication,"['B01.9', 'B05.9', 'B06.9', 'B26.9', 'J95.00', 'J95.09', 'K94.00']",1
controlled ovarian hyperstimulation,['N98.1'],1
stiffness following total knee arthroplasty,"['M25.60', 'M25.611', 'M25.612', 'M25.619', 'M25.621', 'M25.622', 'M25.629']",1
electronic fetal monitoring,"['T84.320S', 'Y93.C2', 'T82.128S', 'T82.129S', 'T83.120S', 'T84.310S', 'T84.320A']",1
fetal hypoxia,None,1
fetal-placental circulation,"['P29.38', 'P50.4', 'R93.1']",1
endoscopic sinus surgery,"['Y62.4', 'T81.504S', 'T81.514S', 'T81.524S', 'T81.534S', 'T81.594S', 'T81.504A']",1
chronic rhinosinusitis without polyps,None,1
oral steroids,"['F55.3', 'Z79.51', 'Z79.52']",1
anti-neutrophil cytoplasmic antibody-associated vasculitis,['I77.82'],1
esophageal,"['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']",1
adenine phosphoribosyltransferase deficiency,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
inclusion body myositis,['G72.41'],1
gynecologic malignancies,"['Y76.0', 'Y76.1', 'Y76.2', 'Y76.3', 'Y76.8', 'Z01.411', 'Z01.419']",1
blasts 10 percent or more of bone marrow nucleated cells,None,1
chronic myelomonocytic leukemia-2,"['C92.51', 'C92.52', 'C93.11', 'C93.12', 'C93.31', 'C93.32', 'C92.50']",1
high grade malignant neoplasm,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
locally advanced papillary renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
metastatic papillary renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
type 1 papillary renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
type 2 papillary renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
seasonal allergic rhinoconjunctivitis,['J30.2'],1
basal cell nevus syndrome,"['D68.61', 'D69.41', 'D81.4', 'E24.1', 'E26.01', 'E26.81', 'E34.0']",1
t-acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
adult t lymphoblastic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
atrophy,"['H21.29', 'H31.23', 'H47.20', 'H47.22', 'N50.0', 'N64.2', 'N90.5']",1
enthesitis,None,1
clear cell renal cell carcinoma (ccrcc),"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
respiratory distress syndrome (rds),"['R09.2', 'A15.7', 'A15.8', 'A15.9', 'J98.9', 'R06.03', 'J12.1']",1
pediatric crohn's disease,"['R63.31', 'R63.32', 'G47.33', 'Z71.87', 'Z68.51', 'Z68.54', 'Z68.52']",1
leber's hereditary optic neuropathy (lhon),"['D58.0', 'D58.1', 'D80.0', 'E79.82', 'E83.110', 'Q82.0', 'D64.0']",1
hla-a2 positive cells present,"['E70.321', 'Z17.0', 'Z67.10', 'Z67.20', 'Z67.30', 'Z67.40', 'Z67.90']",1
breast carcinoma metastatic in the brain,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
pmdd,None,1
stress,"['F43.0', 'M84.350S', 'N39.3', 'Z73.3', 'F43.10', 'F43.11', 'F43.12']",1
repository corticotropin injection,"['T80.90XS', 'Y62.3', 'T80.0XXS', 'T80.1XXS', 'T80.29XS', 'T80.89XS', 'T80.90XA']",1
pulmonary cystic fibrosis,['E84.0'],1
"growth hormone deficiency, pediatric","['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
hgh (human growth hormone),None,1
hormones,"['E34.1', 'F55.3', 'R83.1', 'T38.1X6S', 'T38.816S', 'T38.1X3S', 'T38.1X4S']",1
pituitary diseases,['E24.0'],1
pancreatic ductal adenocarcinoma (pdac),"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
accelerated phase chronic myelogenous leukemia (cml),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
blast phase chronic myelogenous leukemia (cml),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
chronic phase phase chronic myelogenous leukemia (cml),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
philadelphia chromosome positive (ph+) phase chronic myelogenous leukemia (cml),"['Q99.2', 'Q99.8', 'Q95.1', 'Q98.7', 'Q92.0', 'Q92.1', 'Q93.0']",1
glycogen storage disease type ii;pompe's disease,"['E74.00', 'E74.09', 'J84.842']",1
e-cigarettes,None,1
primary teeth,None,1
pulpotomy,None,1
non-erosive reflux disease,None,1
obstetric surgical procedures,"['O75.4', 'T81.89XS', 'T81.89XA', 'T81.89XD', 'P00.7', 'Z41.8', 'O35.7XX1']",1
calciphylaxis,None,1
calcific uremic arteriolopathy,"['M65.20', 'M65.231', 'M65.232', 'M65.239', 'M65.241', 'M65.242', 'M65.249']",1
pouchitis,['K91.850'],1
inhospital cardiac arrest,None,1
japanese premenopausal healthy adult women,['N92.4'],1
relapsing multiple scelrosis,"['M94.1', 'A68.9', 'A68.0', 'A68.1', 'M35.6']",1
post surgical ocular inflammation and pain,"['H01.9', 'H30.93', 'H05.00', 'H30.003', 'H30.013', 'H30.033', 'H30.103']",1
advanced mds,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
advanced cml,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
advanced mpns,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
chronic obstructive pulmonary disease - copd,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
acute gvhd,None,1
acidosis,"['E87.20', 'E87.29', 'E87.21', 'E87.22', 'P74.0']",1
prostate neoplasm,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
fibroids,None,1
uterine prolapse,"['K62.2', 'K62.3', 'H43.03', 'N81.2', 'N81.3', 'N81.4', 'N81.85']",1
spasm,"['J38.5', 'K59.4', 'M62.838', 'R25.2', 'G51.31', 'G51.32', 'G51.33']",1
social acceptance,None,1
cic,"['H02.011', 'H02.012', 'H02.013', 'H02.014', 'H02.015', 'H02.016', 'H02.019']",1
triple negative breast cancer (tnbc),"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
b acute lymphoblastic leukemia with t(9;22)(q34;q11.2); bcr-abl1,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
refractory adult acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
refractory childhood acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
cognitive dysfunction,"['E28.8', 'E28.9', 'E29.8', 'E29.9', 'E31.8', 'E31.9', 'H83.2X3']",1
basal cell carcinomas,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
"obesity, visceral","['B55.0', 'B83.0', 'A50.08']",1
"subjects with hyperlipidemia, dyslipidemia and hiv infection","['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
ventricular outflow obstruction,"['I49.01', 'I49.02', 'I47.20', 'I47.29', 'I49.3', 'Q21.0', 'I47.0']",1
lennox-gastaut syndrome (lgs),"['G40.813', 'G40.814', 'G40.811', 'G40.812']",1
penile squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
moderate to severe papulopustular rosacea,"['F71', 'N87.1', 'N89.1', 'N90.1', 'E44.0', 'J45.40', 'K05.212']",1
pre-exposure prophylaxis of hiv-1 infection,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
stage iv prostate adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
active cutaneous lupus erythematosus,"['L10.4', 'L93.0', 'L93.1', 'L93.2', 'M32.9', 'M32.0', 'M32.11']",1
cannabis intoxication,"['F12.120', 'F12.121', 'F12.129', 'F12.220', 'F12.221', 'F12.229', 'F12.920']",1
craniopharyngioma,None,1
"urothelial carcinoma associated 1 rna, human","['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
alcoholic hepatitis (ah),"['G62.1', 'G72.1', 'I42.6', 'K70.0', 'K29.20', 'K29.21', 'K70.10']",1
advanced or metastatic non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",1
migraine headaches,"['G43.B1', 'G43.D1', 'G43.B0', 'G43.D0', 'G43.A1', 'G43.411', 'G43.419']",1
carcinoid tumors,"['C7A.00', 'C7A.010', 'C7A.011', 'C7A.012', 'C7A.020', 'C7A.021', 'C7A.026']",1
filamentary keratitis,"['H16.123', 'H16.121', 'H16.122', 'H16.129']",1
thymus neoplasms,"['C37', 'D15.0', 'D38.4', 'Z85.238']",1
"neoplasms, germ cell and embryonal","['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
solid tumors induced by prior radiation exposure,"['K62.7', 'G62.82', 'N46.024', 'N46.124', 'T66.XXXS', 'Z57.1', 'N52.35']",1
brain edema,['S06.1X7A'],1
female sexual dysfunction,"['E28.8', 'E28.9', 'E29.8', 'E29.9', 'E31.8', 'E31.9', 'H83.2X3']",1
post-menopausal vasomotor symptoms,['J30.0'],1
copd (chronic obstructive pulmonary disease),"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
primary ciliary dyskinesia,"['K22.4', 'G24.01', 'G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",1
metastatic colorectal carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
refractory colorectal carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",1
heart failure and reduced ejection fraction,None,1
endotoxemia,None,1
cryptogenic sensory peripheral neuropathy in metabolic syndrome,['J84.116'],1
"aspergillosis, allergic bronchopulmonary",['B44.81'],1
craniocerebral trauma,None,1
intracranial aneurysm,"['G93.2', 'G96.810', 'G96.811', 'G96.819', 'D18.02', 'G06.0', 'I62.9']",1
meningitis,"['A01.01', 'A02.21', 'A17.0', 'A20.3', 'A32.11', 'A39.0', 'A42.81']",1
intracranial hemorrhages,"['P52.8', 'P10.8']",1
"transplant, liver","['T86.41', 'T86.42', 'T86.43', 'Z94.4', 'T86.40', 'T86.49', 'Z48.23']",1
malignant brain tumor,"['C71.7', 'C71.9', 'C79.31', 'C71.8', 'Z85.841']",1
"heart failure, left-sided","['K51.50', 'K51.513', 'K51.514', 'K51.511', 'K51.512', 'K51.518', 'K51.519']",1
left-sided heart failure,"['K51.50', 'K51.513', 'K51.514', 'K51.511', 'K51.512', 'K51.518', 'K51.519']",1
chronic viral hepatitis b with delta-agent,"['B18.0', 'B18.1']",1
coronary artery bypass grafting,"['I25.84', 'I25.41', 'I25.42', 'Z98.61', 'I24.81', 'I25.85', 'Q24.5']",1
postoperative atrial fibrilation,None,1
systemic embolism,"['A44.0', 'D47.02', 'C96.21', 'E85.3', 'M34.0', 'M34.89', 'M34.9']",1
stage iv pancreatic cancer ajcc v6 and v7,['C25.3'],1
cerebrospinal fluid leak,"['G96.00', 'G96.01', 'G96.02', 'G96.08', 'G96.09', 'G97.0']",1
pro-opiomelanocortin (pomc) deficiency obesity,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",1
"opioid use, unspecified","['F11.90', 'F11.99', 'F11.94', 'F11.981', 'F11.982', 'F11.988', 'F11.959']",1
iud insertion,"['O43.121', 'O43.122', 'O43.123', 'O43.129', 'Q95.0', 'Z30.430', 'M96.65']",1
facial rhytids,None,1
"childhood developmental disorders, pervasive","['K09.0', 'Q50.1', 'F84.8', 'F84.9', 'G70.2', 'M27.0', 'F81.89']",1
parkinson's disease dementia,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",1
hellp syndrome,"['O14.20', 'O14.22', 'O14.23', 'O14.24', 'O14.25']",1
eclampsia,"['O15.1', 'O15.2', 'O14.10', 'O14.12', 'O14.13', 'O14.14', 'O14.90']",1
"respiratory syncytial virus, bronchiolitis",['J21.0'],1
post-surgical pain following extraction of molar teeth,"['Z98.41', 'Z98.42', 'Z98.49', 'P03.0', 'P12.1']",1
non-alcoholic steatohepatitis nash,['K75.81'],1
corticosteroid refractory acute graft vs host disease,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",1
oral cavity neoplasm,"['Z12.81', 'C14.8', 'D37.09', 'Z86.003', 'Z85.818', 'Z85.819']",1
oropharyngeal neoplasm,['R13.12'],1
stage 0 oral cavity squamous cell carcinoma american joint committee on cancer (ajcc) v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
stage 0 oropharyngeal squamous cell carcinoma ajcc v6 and v7,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
